a52dec 0.8.0-2
libsysprof-capture 47.2-2
libtar 1.2.20-7
libtasn1 4.19.0-2
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.7.0-1
libtiger 0.3.4-8
libtirpc 1.3.6-1
libtool 2.5.4+r1+gbaa1fe41-2
libtraceevent 1:1.8.4-1
libtracefs 1.8.1-1
libunibreak 6.1-1
libunistring 1.3-1
libunrar 1:7.1.3-1
libunwind 1.8.1-3
libupnp 1.14.20-2
liburing 2.9-1
libusb 1.0.27-1
libusb-compat 0.1.8-2
libusbmuxd 2.1.0-1
libutempter 1.2.1-4
libutf8proc 2.10.0-1
libuv 1.50.0-1
libva 2.22.0-1
libva-utils 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvips 8.16.0-2
libvirt 1:11.0.0-2
libvlc 3.0.21-12
libvncserver 0.9.14-4
libvorbis 1.3.7-4
libvpl 2.14.0-1
libvpx 1.15.0-1
libvterm 0.3.3-2
libwacom 2.14.0-1
libwbclient 2:4.21.3-1
libwebp 1.5.0-1
libwireplumber 0.5.7-1
libwmf 0.2.13-4
libx11 1.8.11-1
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.38-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxdp 1.5.1-1
libxext 1.3.6-1
libxfce4ui 4.20.0-3
libxfce4util 4.20.0-2
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.8-2
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.7.0-2
libxkbcommon-x11 1.7.0-2
libxkbfile 1.1.3-1
libxklavier 5.4-5
libxml++ 3.2.5-1
libxml2 2.13.5-2
libxmu 1.2.1-1
libxpm 3.5.17-2
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.42-2
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.2-1
licenses 20240728-1
lilv 0.24.24-3
linux 6.13.1.arch1-1
linux-api-headers 6.10-1
linux-firmware 20250109.7673dffd-1
linux-firmware-whence 20250109.7673dffd-1
linuxqq 5:3.2.15_31363-1
lirc 1:0.10.2-5
live-media 2024.04.19-1
lksctp-tools 1.0.20-1
llvm-libs 19.1.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
localsend-bin 1.16.1-1
lua 5.4.7-1
lua-lpeg 1.1.0-3
lua51-lpeg 1.1.0-3
lua53 5.3.6-3
luajit 2.1.1736781742-1
lv2 1.18.10-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
mariadb-libs 11.6.2-2
marisa 0.2.6-16
mathjax 3.2.2-2
maven 3.9.9-1
md4c 0.5.2-1
mdadm 4.4-1
media-player-info 26-1
mesa 1:24.3.4-1
minicom 2.9-2
miniupnpc 2.3.0-1
minizip 1:1.3.1-2
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
modemmanager 1.22.0-1
mpdecimal 4.0.0-2
mpfr 4.2.1-5
mpg123 1.32.10-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtr 0.95-6
mutt 2.2.13-3
mycli 1.28.0-1
mysql-workbench 8.0.41-1
navicat16-premium-cs 16.3.4-1
ncurses 6.5-3
ndctl 79-1
neofetch 7.1.0-2
neovim 0.10.4-1
netpbm 10.86.44-1
nettle 3.10.1-1
networkmanager 1.50.2-1
nftables 1:1.1.1-2
ninja 1.12.1-2
nmap 7.95-1
noto-fonts 1:2025.02.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.047-1
npth 1.8-1
nspr 4.36-1
nss 3.108-1
ntfs-3g 2022.10.3-1
numactl 2.0.19-1
nutstore 6.3.6-1
nvm 0.40.1-1
ocl-icd 2.3.2-2
openal 1.24.2-1
opencc 1.1.8-2
opencore-amr 0.1.6-2
openexr 3.3.2-1
openh264 2.5.0-1
openjdk-doc 23.0.2.u7-1
openjdk-src 23.0.2.u7-1
openjdk11-doc 11.0.26.u4-1
openjdk11-src 11.0.26.u4-1
openjdk17-doc 17.0.14.u7-1
openjdk17-src 17.0.14.u7-1
openjdk21-doc 21.0.6.u7-1
openjdk21-src 21.0.6.u7-1
openjdk8-doc 8.442.u06-1
openjdk8-src 8.442.u06-1
openjpeg2 2.5.3-1
openslide 4.0.0-4
openssh 9.9p1-2
openssl 3.4.0-1
optipng 0.7.8-1
opus 1.5.2-1
orc 0.4.40-1
os-prober 1.81-2
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-1
pacman-mirrorlist 20250101-1
pam 1.7.0-1
pambase 20230918-2
pandoc-cli 3.1.12.1-2
pango 1:1.56.1-1
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.1-1
perl 5.40.1-1
perl-error 0.17029-7
perl-mailtools 2.22-1
perl-timedate 2.33-7
picom 12.5-1
pinentry 1.3.1-5
pipewire 1:1.2.7-1
